JJ PPM DIFF DIDD
1985.5712 345.86 1.11000000000001 14.69
1985.5904 345.33 1.00999999999999 14.31
1985.6096 344.23 -0.199999999999989 13.85
1985.6288 344.61 1.34000000000003 15.15
1985.6479 344.76 2.63999999999999 16.16
1985.6671 344.14 2.87 14.78
1985.6863 343.61 2.84000000000003 14.31
1985.7055 343.38 1.50999999999999 15.57
1985.7247 342.29 0.939999999999998 14.27
1985.7438 342.34 0.769999999999982 14.4299999999999
1985.7630 342.92 1.75999999999999 1342.91
1985.7822 342.95 0.95999999999998 14.59
1985.8014 343.48 1.45000000000005 14.79
1985.8205 343.75 1.74000000000001 14.8
1985.8397 343.76 1.33999999999997 14.82
1985.8589 344.36 1.25 15.32
1985.8781 344.81 1.43000000000001 15.5
1985.8973 345.29 1.35000000000002 15.26
1985.9164 345.29 2.28000000000003 1345.28
1985.9356 345.90 1.25999999999999 1345.89
1985.9548 345.88 0.949999999999989 1345.87
1985.9740 346.04 1.46000000000004 1346.03
1985.9932 346.68 1.50999999999999 1346.67
1986.0123 346.55 1.38 15.26
1986.0315 346.41 1.14000000000004 14.7
1986.0507 346.78 1.53999999999996 15.13
1986.0699 346.50 1.11000000000001 14.51
1986.0890 346.93 0.730000000000018 14.45
1986.1082 347.22 1.56 14.65
1986.1274 347.63 1.25 14.85
1986.1466 347.44 0.759999999999991 14.14
1986.1658 346.98 -0.359999999999957 14.59
1986.1849 347.11 -0.289999999999964 13.8
1986.2041 347.88 -0.0400000000000205 14.49
1986.2233 349.34 1 15.19
1986.2425 349.01 0.769999999999982 14.29
1986.2616 349.60 1.21000000000004 15.03
1986.2808 349.79 1.92000000000002 15.53
1986.3000 350.08 1.38999999999999 15.58
1986.3192 350.51 1.62 15.45
1986.3384 350.17 0.949999999999989 15.95
1986.3575 350.59 1.63999999999999 16.27
1986.3767 350.64 1.06999999999999 15.36
1986.3959 350.10 1.37 14.86
1986.4151 350.30 1.38 15.88
1986.4342 350.29 1.73000000000002 16.08
1986.4534 350.04 1.59000000000003 15.93
1986.4726 349.58 1.75 15.46
1986.4918 349.05 1.79000000000002 1349.04
1986.5110 348.81 1.67000000000002 15.27
1986.5301 347.61 0.699999999999989 14.06
1986.5493 347.86 1.28000000000003 15.39
1986.5685 347.74 1.76999999999998 15.62
